day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456963	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456963	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456963	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456963	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456963	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	0
5	123456963	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	0	0	0	0	50	2	[]	0	0
6	123456963	238	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	2	[]	0	2
7	123456963	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	4	[]	0	2
8	123456963	235	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	36	7	0	0	0	0	0	0	0	50	4	[]	0	1
9	123456963	232	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	36	8	0	0	0	0	0	0	0	50	4	[]	0	1
10	123456963	229	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	36	8	0	0	0	0	0	0	0	50	4	[]	0	2
11	123456963	205	9	5	1	0	0	0	0	19	0	1	0	0	0	0	0	36	11	0	0	1	0	0	0	0	50	4	[1C]	1	3
12	123456963	197	12	10	1	0	0	0	0	19	0	1	0	0	0	0	0	69	12	0	0	1	0	0	0	0	50	4	[1C]	1	5
13	123456963	197	9	9	5	0	0	0	0	19	0	1	0	0	0	0	0	69	13	0	0	1	0	0	0	0	50	4	[1C]	1	5
14	123456963	196	5	13	6	0	0	0	0	19	0	1	0	0	0	0	0	69	13	0	0	1	0	0	0	0	50	5	[1C]	1	5
15	123456963	194	7	11	8	0	0	0	0	19	0	1	0	0	0	0	0	69	14	0	0	1	0	0	0	0	50	5	[1C]	1	5
16	123456963	184	16	12	8	0	0	0	0	19	0	1	0	0	0	0	0	69	14	0	0	1	0	0	0	0	50	6	[1C]	1	5
17	123456963	181	18	11	10	0	0	0	0	19	0	1	0	0	0	0	0	69	14	0	0	1	0	0	0	0	50	6	[1C]	1	5
18	123456963	172	24	13	11	0	0	0	0	19	0	1	0	0	0	0	0	69	14	0	0	1	0	0	0	0	50	7	[1C]	1	5
19	123456963	150	15	8	7	19	7	7	7	19	0	1	0	0	0	0	0	102	14	0	2	1	0	0	0	0	50	7	[1C 2A 3A]	3	6
20	123456963	140	9	5	6	19	5	7	9	19	0	1	0	10	3	5	2	102	16	1	2	1	1	0	0	0	50	7	[1C 2A 3A 2C]	4	7
21	123456963	140	6	8	6	19	3	7	11	19	0	1	0	10	3	5	2	102	17	1	2	1	1	0	0	0	50	7	[1C 2A 3A 2C]	4	7
22	123456963	139	5	7	9	19	2	8	11	19	0	0	1	10	2	5	3	102	19	1	2	1	1	0	0	0	50	7	[1C 2A 3A 2C]	4	6
23	123456963	133	10	8	9	19	1	9	11	19	0	0	1	10	2	5	3	102	20	1	2	1	1	0	0	0	50	8	[1C 2A 3A 2C]	4	7
