day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456937	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50	0	0	0	0	[]	0	0
1	123456937	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	50	0	0	0	0	[]	0	0
2	123456937	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	50	0	0	0	0	[]	0	0
3	123456937	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	50	0	0	0	1	[]	0	0
4	123456937	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	50	50	0	0	0	1	[]	0	0
5	123456937	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	50	50	0	0	0	2	[]	0	0
6	123456937	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	50	50	0	0	0	2	[]	0	0
7	123456937	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	50	50	0	0	0	3	[]	0	0
8	123456937	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	50	50	0	0	0	3	[]	0	0
9	123456937	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	50	50	0	0	0	3	[]	0	0
10	123456937	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	50	50	0	0	0	3	[]	0	0
11	123456937	234	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	9	0	0	0	0	50	50	0	0	0	3	[]	0	1
12	123456937	231	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	9	0	0	0	0	50	50	0	0	0	3	[]	0	2
13	123456937	231	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	120	10	0	0	0	0	50	50	0	0	0	3	[]	0	3
14	123456937	215	1	4	0	16	1	2	0	0	0	0	0	0	0	1	0	139	10	1	2	0	1	50	50	0	0	0	3	[2A]	1	3
15	123456937	208	8	3	1	16	1	2	0	0	0	0	0	0	0	0	1	194	11	1	2	0	1	50	50	0	0	0	3	[2A]	1	2
16	123456937	204	9	5	2	16	0	3	0	0	0	0	0	0	0	0	1	194	11	1	2	0	1	50	50	0	0	0	3	[2A]	1	2
17	123456937	197	10	10	3	16	0	3	0	0	0	0	0	0	0	0	1	194	12	1	2	0	1	50	50	0	0	0	3	[2A]	1	3
18	123456937	195	3	0	2	18	5	11	4	0	0	0	0	0	0	1	1	213	13	2	11	0	2	50	50	0	0	0	3	[2A 3B]	2	2
19	123456937	193	4	1	2	18	3	13	4	0	0	0	0	0	0	1	1	213	13	2	11	0	2	50	50	0	0	0	3	[2A 3B]	2	3
20	123456937	193	4	1	2	18	2	14	4	0	0	0	0	0	0	1	1	213	13	2	11	0	2	50	50	0	0	0	3	[2A 3B]	2	3
