day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456947	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456947	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456947	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	2	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456947	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	2	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456947	232	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456947	232	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456947	232	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456947	232	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	0	0	0	50	0	[]	0	1
8	123456947	232	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	60	6	0	0	0	0	0	0	0	50	0	[]	0	1
9	123456947	231	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	96	7	0	0	0	0	0	0	0	50	0	[]	0	2
10	123456947	229	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	96	7	0	0	0	0	0	0	0	50	0	[]	0	2
11	123456947	228	4	2	6	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	0	[]	0	1
12	123456947	226	5	3	6	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	0	[]	0	1
13	123456947	226	3	4	7	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	0	0	0	50	0	[]	0	2
14	123456947	226	2	5	7	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	0	0	0	50	0	[]	0	2
15	123456947	224	4	3	9	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	0	0	0	50	0	[]	0	1
16	123456947	214	3	1	2	9	1	3	7	0	0	0	0	0	0	0	0	156	8	0	1	0	0	0	0	0	50	0	[2B]	1	2
17	123456947	213	3	1	3	9	0	3	8	0	0	0	0	0	0	0	0	156	9	0	1	0	0	0	0	0	50	0	[2B]	1	2
18	123456947	200	0	0	0	9	0	2	9	13	2	1	4	0	0	0	0	176	10	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
19	123456947	200	0	0	0	9	0	2	9	13	1	2	4	0	0	0	0	176	10	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
20	123456947	200	0	0	0	9	0	2	9	13	1	2	4	0	0	0	0	176	11	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
21	123456947	200	0	0	0	9	0	1	10	13	1	2	4	0	0	0	0	176	11	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
22	123456947	200	0	0	0	9	0	1	10	13	0	3	4	0	0	0	0	176	11	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
23	123456947	200	0	0	0	9	0	1	10	13	0	3	4	0	0	0	0	206	11	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
24	123456947	200	0	0	0	9	0	1	10	13	0	2	5	0	0	0	0	206	12	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
25	123456947	200	0	0	0	9	0	1	10	13	0	2	5	0	0	0	0	226	12	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
26	123456947	200	0	0	0	9	0	1	10	13	0	2	5	0	0	0	0	226	13	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
27	123456947	200	0	0	0	9	0	1	10	13	0	2	5	0	0	0	0	226	13	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
28	123456947	200	0	0	0	9	0	1	10	13	0	2	5	0	0	0	0	226	16	0	1	1	0	0	0	0	50	0	[2B 1B]	2	2
29	123456947	200	0	0	0	9	0	0	11	13	0	1	6	0	0	0	0	226	17	0	1	1	0	0	0	0	50	0	[2B 1B]	2	1
30	123456947	209	0	0	11	0	0	0	0	13	0	1	6	0	0	0	0	259	19	0	1	1	0	0	0	0	50	0	[1B]	1	1
31	123456947	209	0	0	11	0	0	0	0	13	0	1	6	0	0	0	0	259	20	0	1	1	0	0	0	0	50	0	[1B]	1	1
32	123456947	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	283	22	0	1	1	0	0	0	0	50	0	[]	0	0
33	123456947	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	283	22	0	1	1	0	0	0	0	50	0	[]	0	0
34	123456947	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	283	23	0	1	1	0	0	0	0	50	0	[]	0	0
35	123456947	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	283	24	0	1	1	0	0	0	0	50	0	[]	0	0
