day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457199	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123457199	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
2	123457199	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	0
3	123457199	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	0
4	123457199	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	1	[]	0	0
5	123457199	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	1	[]	0	1
6	123457199	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	3	[]	0	1
7	123457199	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	3	[]	0	2
8	123457199	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	3	[]	0	2
9	123457199	230	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	50	4	[]	0	3
10	123457199	227	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	50	4	[]	0	3
11	123457199	206	8	6	0	0	0	0	0	17	1	2	0	0	0	0	0	0	9	0	0	1	0	0	0	0	50	4	[2C]	1	3
12	123457199	202	10	8	0	0	0	0	0	17	1	2	0	0	0	0	0	0	9	0	0	1	0	0	0	0	50	4	[2C]	1	3
13	123457199	201	9	10	0	0	0	0	0	17	1	2	0	0	0	0	0	0	9	0	0	1	0	0	0	0	50	5	[2C]	1	3
14	123457199	201	6	9	4	0	0	0	0	17	1	2	0	0	0	0	0	0	10	0	0	1	0	0	0	0	50	5	[2C]	1	3
15	123457199	198	8	9	5	0	0	0	0	17	1	1	1	0	0	0	0	0	11	0	0	1	0	0	0	0	50	5	[2C]	1	3
16	123457199	197	7	11	5	0	0	0	0	17	0	2	1	0	0	0	0	0	11	0	0	1	0	0	0	0	50	5	[2C]	1	3
17	123457199	188	14	10	8	0	0	0	0	17	0	2	1	0	0	0	0	0	11	0	0	1	0	0	0	0	50	7	[2C]	1	4
18	123457199	184	13	14	9	0	0	0	0	17	0	2	1	0	0	0	0	0	12	0	0	1	0	0	0	0	50	7	[2C]	1	4
19	123457199	178	8	7	7	0	0	0	0	17	0	2	1	5	2	7	6	0	12	1	0	1	1	0	0	0	50	7	[2C 3B]	2	4
20	123457199	177	6	10	7	0	0	0	0	17	0	2	1	5	1	6	8	0	13	1	0	1	1	0	0	0	50	8	[2C 3B]	2	5
21	123457199	177	5	10	8	0	0	0	0	17	0	1	2	5	0	7	8	0	13	1	0	1	1	0	0	0	50	8	[2C 3B]	2	6
22	123457199	172	9	10	9	0	0	0	0	17	0	1	2	5	0	7	8	0	14	1	0	1	1	0	0	0	50	8	[2C 3B]	2	7
23	123457199	172	7	11	10	0	0	0	0	17	0	1	2	5	0	7	8	0	14	1	0	1	1	0	0	0	50	8	[2C 3B]	2	7
24	123457199	168	9	11	12	0	0	0	0	17	0	1	2	5	0	6	9	0	16	1	0	1	1	0	0	0	50	8	[2C 3B]	2	7
25	123457199	176	16	12	16	0	0	0	0	0	0	0	0	5	0	4	11	0	17	1	0	1	1	0	0	0	50	9	[3B]	1	6
26	123457199	173	17	12	18	0	0	0	0	0	0	0	0	5	0	3	12	0	18	1	0	1	1	0	0	0	50	9	[3B]	1	6
27	123457199	157	12	11	20	0	0	0	0	0	0	0	0	21	2	5	12	0	19	2	0	1	2	0	0	0	50	9	[3B 3C]	2	6
28	123457199	147	5	9	19	0	0	0	0	10	3	5	2	21	2	5	12	0	21	2	0	2	2	0	0	0	50	9	[3B 3C 3A]	3	7
29	123457199	141	9	11	19	0	0	0	0	10	3	4	3	21	0	6	13	0	22	2	0	2	2	0	0	0	50	9	[3B 3C 3A]	3	7
30	123457199	140	8	12	20	0	0	0	0	10	2	3	5	21	0	5	14	0	23	2	0	2	2	0	0	0	50	9	[3B 3C 3A]	3	7
31	123457199	134	11	14	21	0	0	0	0	10	2	1	7	21	0	5	14	0	23	2	0	2	2	0	0	0	50	9	[3B 3C 3A]	3	8
32	123457199	124	16	17	23	0	0	0	0	10	1	2	7	21	0	5	14	0	23	2	0	2	2	0	0	0	50	9	[3B 3C 3A]	3	8
33	123457199	123	17	20	40	0	0	0	0	10	1	1	8	16	0	3	1	0	23	2	0	2	2	0	0	0	50	9	[3C 3A]	2	7
34	123457199	123	14	21	42	0	0	0	0	10	1	1	8	16	0	3	1	0	23	2	0	2	2	0	0	0	50	9	[3C 3A]	2	7
35	123457199	111	10	18	41	0	0	0	0	20	2	6	12	16	0	2	2	0	24	2	0	3	2	0	0	0	50	11	[3C 3A 1B]	3	8
