day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456797	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456797	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456797	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456797	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456797	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	0
5	123456797	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	1	[]	0	0
6	123456797	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	2	[]	0	0
7	123456797	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	2	[]	0	1
8	123456797	238	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	0	0	0	50	2	[]	0	2
9	123456797	238	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	2	[]	0	2
10	123456797	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	9	0	0	0	0	0	0	0	50	2	[]	0	2
11	123456797	236	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	11	0	0	0	0	0	0	0	50	2	[]	0	2
12	123456797	219	0	1	0	17	1	1	1	0	0	0	0	0	0	0	0	240	12	0	1	0	0	0	0	0	50	2	[1D]	1	2
13	123456797	219	0	1	0	17	1	1	1	0	0	0	0	0	0	0	0	240	12	0	1	0	0	0	0	0	50	2	[1D]	1	2
14	123456797	200	0	0	0	17	1	1	1	19	0	1	0	0	0	0	0	240	13	0	1	1	0	0	0	0	50	2	[1D 1A]	2	2
15	123456797	200	0	0	0	17	1	1	1	19	0	1	0	0	0	0	0	240	14	0	1	1	0	0	0	0	50	2	[1D 1A]	2	2
16	123456797	199	1	0	0	17	1	1	1	19	0	1	0	0	0	0	0	240	15	0	1	1	0	0	0	0	50	3	[1D 1A]	2	2
17	123456797	199	1	0	0	17	1	1	1	19	0	1	0	0	0	0	0	240	16	0	1	1	0	0	0	0	50	3	[1D 1A]	2	2
18	123456797	199	1	0	0	17	0	1	2	19	0	1	0	0	0	0	0	240	17	0	1	1	0	0	0	0	50	3	[1D 1A]	2	2
19	123456797	199	1	0	0	17	0	1	2	19	0	1	0	0	0	0	0	340	17	0	1	1	0	0	0	0	50	3	[1D 1A]	2	2
20	123456797	199	1	0	0	17	0	1	2	19	0	1	0	0	0	0	0	340	19	0	1	1	0	0	0	0	50	3	[1D 1A]	2	2
21	123456797	199	0	1	0	17	0	1	2	19	0	0	1	0	0	0	0	340	19	0	1	1	0	0	0	0	50	3	[1D 1A]	2	2
22	123456797	197	2	1	0	17	0	1	2	19	0	0	1	0	0	0	0	340	20	0	1	1	0	0	0	0	50	3	[1D 1A]	2	2
23	123456797	197	2	1	0	17	0	1	2	19	0	0	1	0	0	0	0	340	20	0	1	1	0	0	0	0	50	3	[1D 1A]	2	2
24	123456797	196	3	1	0	17	0	1	2	19	0	0	1	0	0	0	0	340	23	0	1	1	0	0	0	0	50	4	[1D 1A]	2	2
25	123456797	195	4	1	0	17	0	1	2	19	0	0	1	0	0	0	0	340	23	0	1	1	0	0	0	0	50	4	[1D 1A]	2	2
26	123456797	197	0	0	3	15	3	2	0	19	0	0	1	0	0	0	0	450	26	0	3	1	0	0	0	0	50	4	[1A 3D]	2	1
27	123456797	197	0	0	3	15	2	3	0	19	0	0	1	0	0	0	0	450	26	0	3	1	0	0	0	0	50	4	[1A 3D]	2	1
28	123456797	216	0	0	4	15	1	4	0	0	0	0	0	0	0	0	0	450	26	0	3	1	0	0	0	0	50	4	[3D]	1	1
29	123456797	216	0	0	4	15	1	4	0	0	0	0	0	0	0	0	0	450	29	0	3	1	0	0	0	0	50	4	[3D]	1	1
30	123456797	216	0	0	4	15	1	4	0	0	0	0	0	0	0	0	0	450	30	0	3	1	0	0	0	0	50	4	[3D]	1	1
31	123456797	216	0	0	4	15	1	3	1	0	0	0	0	0	0	0	0	450	30	0	3	1	0	0	0	0	50	4	[3D]	1	1
32	123456797	216	0	0	4	15	1	3	1	0	0	0	0	0	0	0	0	450	30	0	3	1	0	0	0	0	50	4	[3D]	1	1
33	123456797	216	0	0	4	15	1	3	1	0	0	0	0	0	0	0	0	560	31	0	3	1	0	0	0	0	50	4	[3D]	1	1
34	123456797	216	0	0	4	15	1	3	1	0	0	0	0	0	0	0	0	560	32	0	3	1	0	0	0	0	50	4	[3D]	1	1
35	123456797	216	0	0	4	15	1	3	1	0	0	0	0	0	0	0	0	560	34	0	3	1	0	0	0	0	50	4	[3D]	1	1
