day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457410	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457410	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457410	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	0
3	123457410	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	0
4	123457410	235	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123457410	233	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123457410	233	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123457410	233	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
8	123457410	231	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
9	123457410	228	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	50	0	0	0	0	[]	0	1
10	123457410	226	5	7	2	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	49	1	0	0	0	[]	0	2
11	123457410	223	8	7	2	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	49	0	1	0	0	[]	0	2
12	123457410	217	12	9	2	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	47	2	1	0	0	[]	0	3
13	123457410	217	8	12	3	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	47	2	1	0	0	[]	0	3
14	123457410	217	5	12	6	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	47	1	2	0	0	[]	0	2
15	123457410	215	5	12	8	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	47	0	3	0	0	[]	0	3
16	123457410	209	5	2	4	4	1	10	5	0	0	0	0	0	0	0	0	72	0	0	1	0	0	47	0	3	0	0	[2D]	1	4
17	123457410	206	6	4	4	4	1	9	6	0	0	0	0	0	0	0	0	72	0	0	1	0	0	47	0	3	0	0	[2D]	1	3
18	123457410	202	7	6	5	4	1	6	9	0	0	0	0	0	0	0	0	72	0	0	1	0	0	47	0	3	0	0	[2D]	1	3
19	123457410	200	7	6	7	4	0	7	9	0	0	0	0	0	0	0	0	72	0	0	1	0	0	47	0	3	0	0	[2D]	1	2
20	123457410	200	5	8	7	4	0	7	9	0	0	0	0	0	0	0	0	72	0	0	1	0	0	47	0	1	2	0	[2D]	1	2
21	123457410	200	4	7	9	4	0	6	10	0	0	0	0	0	0	0	0	72	0	0	1	0	0	47	0	1	2	0	[2D]	1	2
22	123457410	197	6	8	9	4	0	6	10	0	0	0	0	0	0	0	0	72	0	0	1	0	0	46	1	1	2	0	[2D]	1	2
23	123457410	195	1	0	4	6	3	15	16	0	0	0	0	0	0	0	0	94	0	0	2	0	0	46	0	2	2	0	[2D 1D]	2	2
24	123457410	194	1	1	4	6	2	14	18	0	0	0	0	0	0	0	0	94	0	0	2	0	0	46	0	2	2	0	[2D 1D]	2	3
25	123457410	194	1	1	4	6	1	14	19	0	0	0	0	0	0	0	0	94	0	0	2	0	0	46	0	2	2	0	[2D 1D]	2	3
26	123457410	193	2	1	4	6	1	11	22	0	0	0	0	0	0	0	0	94	0	0	2	0	0	46	0	2	2	0	[2D 1D]	2	4
27	123457410	193	1	1	5	6	1	10	23	0	0	0	0	0	0	0	0	94	0	0	2	0	0	46	0	2	2	0	[2D 1D]	2	4
28	123457410	193	1	1	5	6	0	9	25	0	0	0	0	0	0	0	0	94	0	0	2	0	0	46	0	2	2	0	[2D 1D]	2	4
29	123457410	188	5	2	5	6	0	8	26	0	0	0	0	0	0	0	0	94	0	0	2	0	0	46	0	1	3	0	[2D 1D]	2	3
30	123457410	192	4	3	21	2	0	7	11	0	0	0	0	0	0	0	0	116	0	0	2	0	0	46	0	1	3	0	[1D]	1	2
31	123457410	190	6	3	21	2	0	6	12	0	0	0	0	0	0	0	0	116	0	0	2	0	0	46	0	1	3	0	[1D]	1	2
32	123457410	189	7	3	21	2	0	6	12	0	0	0	0	0	0	0	0	116	0	0	2	0	0	46	0	1	3	0	[1D]	1	2
33	123457410	189	5	3	23	2	0	4	14	0	0	0	0	0	0	0	0	116	0	0	2	0	0	46	0	1	3	0	[1D]	1	2
34	123457410	189	4	3	24	2	0	4	14	0	0	0	0	0	0	0	0	116	0	0	2	0	0	46	0	1	3	0	[1D]	1	2
35	123457410	189	2	5	24	2	0	4	14	0	0	0	0	0	0	0	0	116	0	0	2	0	0	46	0	1	3	0	[1D]	1	2
