day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456993	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456993	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456993	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456993	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123456993	234	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123456993	233	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123456993	233	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123456993	233	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	2
8	123456993	231	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	2
9	123456993	231	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	2
10	123456993	228	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	2
11	123456993	200	0	0	0	28	4	4	4	0	0	0	0	0	0	0	0	48	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
12	123456993	200	0	0	0	28	1	7	4	0	0	0	0	0	0	0	0	48	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
13	123456993	200	0	0	0	28	1	7	4	0	0	0	0	0	0	0	0	48	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
14	123456993	200	0	0	0	28	1	7	4	0	0	0	0	0	0	0	0	48	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
15	123456993	200	0	0	0	28	1	6	5	0	0	0	0	0	0	0	0	48	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
16	123456993	200	0	0	0	28	1	6	5	0	0	0	0	0	0	0	0	48	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
17	123456993	200	0	0	0	28	0	7	5	0	0	0	0	0	0	0	0	48	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
18	123456993	200	0	0	0	28	0	4	8	0	0	0	0	0	0	0	0	68	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
19	123456993	200	0	0	0	28	0	4	8	0	0	0	0	0	0	0	0	68	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
20	123456993	200	0	0	0	28	0	4	8	0	0	0	0	0	0	0	0	68	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
21	123456993	200	0	0	0	28	0	3	9	0	0	0	0	0	0	0	0	68	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	2
22	123456993	200	0	0	0	28	0	2	10	0	0	0	0	0	0	0	0	68	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	1
23	123456993	200	0	0	0	28	0	2	10	0	0	0	0	0	0	0	0	68	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	1
24	123456993	200	0	0	0	28	0	2	10	0	0	0	0	0	0	0	0	68	0	0	2	0	0	50	0	0	0	0	[2C 3C]	2	1
25	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	2	0	0	50	0	0	0	0	[]	0	0
26	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	2	0	0	50	0	0	0	0	[]	0	0
27	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	2	0	0	50	0	0	0	0	[]	0	0
28	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	2	0	0	50	0	0	0	0	[]	0	0
29	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	2	0	0	50	0	0	0	0	[]	0	0
30	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	2	0	0	50	0	0	0	0	[]	0	0
31	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	2	0	0	50	0	0	0	0	[]	0	0
32	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	2	0	0	50	0	0	0	0	[]	0	0
33	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	2	0	0	50	0	0	0	0	[]	0	0
34	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	2	0	0	50	0	0	0	0	[]	0	0
35	123456993	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	2	0	0	50	0	0	0	0	[]	0	0
