day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456833	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456833	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123456833	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
3	123456833	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
4	123456833	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
5	123456833	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
6	123456833	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
7	123456833	237	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
8	123456833	229	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
9	123456833	222	13	3	2	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	2
10	123456833	209	20	9	2	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	4
11	123456833	190	37	10	3	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	3
12	123456833	175	44	18	3	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	48	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	3
13	123456833	175	35	25	5	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	4
14	123456833	175	28	28	9	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	5
15	123456833	161	13	3	3	8	12	30	10	0	0	0	0	0	0	0	0	180	6	0	10	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[1D 2C 3C]	3	6
16	123456833	155	15	6	4	8	8	32	12	0	0	0	0	0	0	0	0	180	6	0	10	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[1D 2C 3C]	3	7
17	123456833	146	22	8	4	8	8	25	19	0	0	0	0	0	0	0	0	180	7	0	10	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[1D 2C 3C]	3	7
18	123456833	135	30	10	5	8	6	23	23	0	0	0	0	0	0	0	0	180	9	0	10	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[1D 2C 3C]	3	9
19	123456833	111	42	21	6	8	4	24	24	0	0	0	0	0	0	0	0	180	9	0	10	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C]	3	9
20	123456833	107	26	22	5	12	7	30	30	0	0	0	0	0	0	1	0	199	9	1	19	0	1	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A]	4	11
21	123456833	107	22	21	10	12	4	32	31	0	0	0	0	0	0	1	0	199	9	1	19	0	1	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A]	4	11
22	123456833	66	5	4	5	49	13	49	47	0	0	0	0	0	0	2	0	272	9	2	28	0	2	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A 3D 1B 1C 2B]	8	11
23	123456833	57	12	5	6	49	9	49	51	0	0	0	0	0	0	2	0	272	9	2	28	0	2	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A 3D 1B 1C 2B]	8	11
24	123456833	50	16	8	6	49	6	47	56	0	0	0	0	0	0	2	0	272	9	2	28	0	2	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A 3D 1B 1C 2B]	8	11
25	123456833	47	16	10	7	49	5	46	58	0	0	0	0	0	0	1	1	272	9	2	28	0	2	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A 3D 1B 1C 2B]	8	11
26	123456833	42	17	13	7	49	3	45	61	0	0	0	0	0	0	2	1	291	9	3	28	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A 3D 1B 1C 2B]	8	11
27	123456833	42	14	15	8	49	2	40	67	0	0	0	0	0	0	0	3	291	9	3	28	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A 3D 1B 1C 2B]	8	10
28	123456833	42	11	17	9	49	1	35	73	0	0	0	0	0	0	0	3	291	9	3	28	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1D 2C 3C 2A 3D 1B 1C 2B]	8	11
29	123456833	27	0	0	53	64	8	36	49	0	0	0	0	0	0	0	3	326	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[2A 3D 1B 1C 2B 1A 2D 3B]	8	8
30	123456833	27	0	0	53	64	5	37	51	0	0	0	0	0	0	0	3	326	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[2A 3D 1B 1C 2B 1A 2D 3B]	8	8
31	123456833	27	0	0	53	64	5	30	58	0	0	0	0	0	0	0	3	326	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[2A 3D 1B 1C 2B 1A 2D 3B]	8	8
32	123456833	27	0	0	53	64	4	26	63	0	0	0	0	0	0	0	3	326	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[2A 3D 1B 1C 2B 1A 2D 3B]	8	8
33	123456833	27	0	0	53	64	3	23	67	0	0	0	0	0	0	0	3	326	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[2A 3D 1B 1C 2B 1A 2D 3B]	8	8
34	123456833	31	0	0	69	60	2	22	54	0	0	0	0	0	0	0	2	326	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[3D 1B 1C 2B 1A 2D 3B]	7	7
35	123456833	31	0	0	69	60	2	18	58	0	0	0	0	0	0	0	2	326	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[3D 1B 1C 2B 1A 2D 3B]	7	7
36	123456833	68	0	0	112	23	1	12	23	0	0	0	0	0	0	0	1	371	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3B]	3	3
37	123456833	68	0	0	112	23	1	12	23	0	0	0	0	0	0	0	1	371	10	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3B]	3	3
38	123456833	68	0	0	112	23	1	10	25	0	0	0	0	0	0	0	1	371	11	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3B]	3	3
39	123456833	68	0	0	112	23	1	8	27	0	0	0	0	0	0	0	1	371	11	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3B]	3	3
40	123456833	68	0	0	112	23	0	6	30	0	0	0	0	0	0	0	1	371	12	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3B]	3	3
41	123456833	68	0	0	112	23	0	5	31	0	0	0	0	0	0	0	1	371	13	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3B]	3	3
42	123456833	68	0	0	112	23	0	4	32	0	0	0	0	0	0	0	1	371	14	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3B]	3	2
43	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	431	14	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
44	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	431	14	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
45	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	431	14	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
46	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	431	14	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
47	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	431	14	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
48	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	431	14	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
49	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	431	15	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
50	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	491	15	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
51	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	491	16	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
52	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	491	17	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
53	123456833	91	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	491	17	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
54	123456833	90	1	0	149	0	0	0	0	0	0	0	0	0	0	0	0	491	19	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0
55	123456833	90	1	0	149	0	0	0	0	0	0	0	0	0	0	0	0	491	19	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0
56	123456833	90	1	0	149	0	0	0	0	0	0	0	0	0	0	0	0	491	21	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0
57	123456833	90	1	0	149	0	0	0	0	0	0	0	0	0	0	0	0	551	21	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0
58	123456833	90	1	0	149	0	0	0	0	0	0	0	0	0	0	0	0	551	22	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0
59	123456833	88	2	1	149	0	0	0	0	0	0	0	0	0	0	0	0	551	22	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	1
60	123456833	86	4	1	149	0	0	0	0	0	0	0	0	0	0	0	0	551	23	3	34	0	3	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	1
