day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456873	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456873	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456873	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456873	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456873	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	50	0	[]	0	0
5	123456873	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	50	0	[]	0	0
6	123456873	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	0
7	123456873	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	2	[]	0	0
8	123456873	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	2	[]	0	1
9	123456873	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	2	[]	0	0
10	123456873	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	2	[]	0	0
11	123456873	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	3	[]	0	0
12	123456873	237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	0	0	0	50	3	[]	0	1
13	123456873	237	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	0	0	0	50	3	[]	0	2
14	123456873	237	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	3	[]	0	2
15	123456873	232	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	0	0	0	50	3	[]	0	2
16	123456873	232	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	120	9	0	0	0	0	0	0	0	50	3	[]	0	2
17	123456873	214	3	1	2	18	1	1	0	0	0	0	0	0	0	0	0	180	9	0	1	0	0	0	0	0	50	3	[3D]	1	2
18	123456873	213	2	3	2	18	1	1	0	0	0	0	0	0	0	0	0	180	10	0	1	0	0	0	0	0	50	3	[3D]	1	2
19	123456873	212	2	4	2	18	1	0	1	0	0	0	0	0	0	0	0	180	11	0	1	0	0	0	0	0	50	3	[3D]	1	1
20	123456873	212	2	4	2	18	1	0	1	0	0	0	0	0	0	0	0	180	11	0	1	0	0	0	0	0	50	3	[3D]	1	1
21	123456873	212	1	4	3	18	1	0	1	0	0	0	0	0	0	0	0	180	12	0	1	0	0	0	0	0	50	3	[3D]	1	1
22	123456873	209	4	3	4	18	1	0	1	0	0	0	0	0	0	0	0	180	13	0	1	0	0	0	0	0	50	3	[3D]	1	1
23	123456873	207	5	4	4	18	1	0	1	0	0	0	0	0	0	0	0	180	15	0	1	0	0	0	0	0	50	4	[3D]	1	1
24	123456873	197	2	0	1	28	3	4	5	0	0	0	0	0	0	0	0	235	17	0	2	0	0	0	0	0	50	4	[3D 2B]	2	1
25	123456873	196	2	1	1	28	3	3	6	0	0	0	0	0	0	0	0	235	17	0	2	0	0	0	0	0	50	4	[3D 2B]	2	2
26	123456873	195	3	1	1	28	2	3	7	0	0	0	0	0	0	0	0	235	17	0	2	0	0	0	0	0	50	5	[3D 2B]	2	3
27	123456873	195	3	1	1	28	2	3	7	0	0	0	0	0	0	0	0	235	18	0	2	0	0	0	0	0	50	5	[3D 2B]	2	3
28	123456873	195	0	4	1	28	2	3	7	0	0	0	0	0	0	0	0	235	18	0	2	0	0	0	0	0	50	5	[3D 2B]	2	5
29	123456873	192	3	3	2	28	2	2	8	0	0	0	0	0	0	0	0	235	18	0	2	0	0	0	0	0	50	6	[3D 2B]	2	4
30	123456873	189	4	4	3	28	2	2	8	0	0	0	0	0	0	0	0	235	18	0	2	0	0	0	0	0	50	6	[3D 2B]	2	4
31	123456873	192	2	1	5	25	2	6	7	0	0	0	0	0	0	0	0	290	20	0	4	0	0	0	0	0	50	6	[2B 3A]	2	3
32	123456873	192	1	1	6	25	1	5	9	0	0	0	0	0	0	0	0	290	21	0	4	0	0	0	0	0	50	6	[2B 3A]	2	3
33	123456873	192	1	1	6	25	1	5	9	0	0	0	0	0	0	0	0	290	21	0	4	0	0	0	0	0	50	6	[2B 3A]	2	3
34	123456873	192	1	1	6	25	1	4	10	0	0	0	0	0	0	0	0	290	22	0	4	0	0	0	0	0	50	6	[2B 3A]	2	3
35	123456873	192	1	1	6	25	0	5	10	0	0	0	0	0	0	0	0	290	22	0	4	0	0	0	0	0	50	6	[2B 3A]	2	3
