day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456908	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456908	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	2	[]	0	0
2	123456908	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	2	[]	0	1
3	123456908	236	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	4	[]	0	0
4	123456908	235	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	5	[]	0	1
5	123456908	230	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	50	9	[]	0	2
6	123456908	228	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	11	[]	0	3
7	123456908	226	8	5	1	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	13	[]	0	5
8	123456908	221	11	6	2	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	15	[]	0	5
9	123456908	210	19	9	2	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	20	[]	0	6
10	123456908	198	26	13	3	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	0	0	0	50	22	[]	0	6
11	123456908	124	10	4	2	70	9	16	5	0	0	0	0	0	0	0	0	120	5	0	5	0	0	0	0	0	50	24	[1B 1C 1D 3B 3C]	5	8
12	123456908	119	14	5	2	70	6	19	5	0	0	0	0	0	0	0	0	120	7	0	5	0	0	0	0	0	50	25	[1B 1C 1D 3B 3C]	5	8
13	123456908	118	12	7	3	70	4	18	8	0	0	0	0	0	0	0	0	120	8	0	5	0	0	0	0	0	50	26	[1B 1C 1D 3B 3C]	5	8
14	123456908	117	8	12	3	70	4	16	10	0	0	0	0	0	0	0	0	120	8	0	5	0	0	0	0	0	50	27	[1B 1C 1D 3B 3C]	5	11
15	123456908	103	18	15	4	70	4	11	15	0	0	0	0	0	0	0	0	120	8	0	5	0	0	0	0	0	50	29	[1B 1C 1D 3B 3C]	5	11
16	123456908	90	26	18	6	70	3	9	18	0	0	0	0	0	0	0	0	120	9	0	5	0	0	0	0	0	50	32	[1B 1C 1D 3B 3C]	5	10
17	123456908	84	29	17	10	70	2	8	20	0	0	0	0	0	0	0	0	120	9	0	5	0	0	0	0	0	50	34	[1B 1C 1D 3B 3C]	5	10
18	123456908	42	8	5	5	112	13	26	29	0	0	0	0	0	0	0	0	155	9	0	10	0	0	0	0	0	50	34	[1B 1C 1D 3B 3C 1A 2B 3A 3D]	9	11
19	123456908	37	12	6	5	112	9	28	31	0	0	0	0	0	0	0	0	155	9	0	10	0	0	0	0	0	50	34	[1B 1C 1D 3B 3C 1A 2B 3A 3D]	9	11
