day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457648	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457648	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457648	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123457648	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
4	123457648	238	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
5	123457648	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
6	123457648	236	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
7	123457648	236	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
8	123457648	233	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
9	123457648	233	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
10	123457648	230	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
11	123457648	230	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
12	123457648	228	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	2
13	123457648	228	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	2
14	123457648	228	3	6	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	2
15	123457648	225	6	6	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	2
16	123457648	219	12	6	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	2
17	123457648	214	4	2	0	5	5	7	3	0	0	0	0	0	0	0	0	180	0	0	1	0	0	[2D]	1	2
18	123457648	213	3	4	0	5	5	5	5	0	0	0	0	0	0	0	0	180	0	0	1	0	0	[2D]	1	2
19	123457648	211	5	4	0	5	4	5	6	0	0	0	0	0	0	0	0	180	0	0	1	0	0	[2D]	1	2
20	123457648	211	4	5	0	5	3	6	6	0	0	0	0	0	0	0	0	180	0	0	1	0	0	[2D]	1	2
21	123457648	211	3	5	1	5	2	5	8	0	0	0	0	0	0	0	0	180	0	0	1	0	0	[2D]	1	2
22	123457648	209	3	7	1	5	2	4	9	0	0	0	0	0	0	0	0	180	0	0	1	0	0	[2D]	1	2
23	123457648	207	3	9	1	5	1	5	9	0	0	0	0	0	0	0	0	180	0	0	1	0	0	[2D]	1	2
24	123457648	200	0	0	0	12	4	12	12	0	0	0	0	0	0	0	0	235	0	0	4	0	0	[2D 1D]	2	2
25	123457648	200	0	0	0	12	3	11	14	0	0	0	0	0	0	0	0	235	0	0	4	0	0	[2D 1D]	2	2
26	123457648	200	0	0	0	12	2	11	15	0	0	0	0	0	0	0	0	235	0	0	4	0	0	[2D 1D]	2	2
27	123457648	200	0	0	0	12	1	10	17	0	0	0	0	0	0	0	0	235	0	0	4	0	0	[2D 1D]	2	2
28	123457648	200	0	0	0	12	0	11	17	0	0	0	0	0	0	0	0	235	0	0	4	0	0	[2D 1D]	2	2
29	123457648	200	0	0	0	12	0	10	18	0	0	0	0	0	0	0	0	235	0	0	4	0	0	[2D 1D]	2	2
30	123457648	200	0	0	0	12	0	8	20	0	0	0	0	0	0	0	0	235	0	0	4	0	0	[2D 1D]	2	2
31	123457648	205	0	0	15	7	0	2	11	0	0	0	0	0	0	0	0	290	0	0	4	0	0	[1D]	1	1
32	123457648	205	0	0	15	7	0	2	11	0	0	0	0	0	0	0	0	290	0	0	4	0	0	[1D]	1	1
33	123457648	205	0	0	15	7	0	2	11	0	0	0	0	0	0	0	0	290	0	0	4	0	0	[1D]	1	1
34	123457648	205	0	0	15	7	0	2	11	0	0	0	0	0	0	0	0	290	0	0	4	0	0	[1D]	1	1
35	123457648	205	0	0	15	7	0	1	12	0	0	0	0	0	0	0	0	290	0	0	4	0	0	[1D]	1	1
